plot_id,year,yield
P001,2022,3.591
P001,2023,3.32
P001,2024,3.405
P002,2022,3.376
P002,2023,3.373
P002,2024,3.384
P003,2022,3.328
P003,2023,3.57
P003,2024,3.594
P004,2022,3.322
P004,2023,3.224
P004,2024,3.234
P005,2022,3.601
P005,2023,3.592
P005,2024,3.578
P006,2022,3.306
P006,2023,3.326
P006,2024,3.134
P007,2022,3.377
P007,2023,3.443
P007,2024,3.383
P008,2022,3.582
P008,2023,3.341
P008,2024,3.566
P009,2022,3.258
P009,2023,3.249
P009,2024,3.221
P010,2022,3.489
P010,2023,3.523
P010,2024,3.349
P011,2022,3.312
P011,2023,3.465
P011,2024,3.29
P012,2022,3.261
P012,2023,3.337
P012,2024,3.223
