plot_id,date,n_pixels,valid_frac,NDVI,EVI,SAVI,NDRE,NDWI
P001,2022-02-01,79,0.8475889181737052,0.1019,0.0941,0.1226,0.0481,-0.0232
P001,2022-02-06,73,0.782803289509352,0.114,0.1056,0.1334,0.0709,-0.0278
P001,2022-02-11,106,0.53142662702165,0.1389,0.1149,0.1551,0.0687,-0.0375
P001,2022-02-21,99,0.8952417531887221,0.1748,0.1317,0.1976,0.0981,-0.0378
P001,2022-02-26,107,0.6976912391627343,0.2045,0.1692,0.2437,0.1102,-0.0639
P001,2022-03-23,78,0.6859121030495199,0.7028,0.599,0.8145,0.3828,-0.1711
P001,2022-04-12,101,0.6795896489695914,0.8921,0.7584,1.0307,0.496,-0.2164
P001,2022-04-17,87,0.686505253193377,0.8916,0.757,1.0084,0.473,-0.2361
P001,2022-04-22,81,0.6141781416959908,0.8953,0.7573,1.0426,0.4882,-0.2165
P001,2022-04-27,114,0.7191843663198555,0.8914,0.7482,1.0218,0.5004,-0.2401
P001,2022-05-02,108,0.6608775066454808,0.9138,0.7623,1.0516,0.4962,-0.2261
P001,2022-05-07,94,0.9902668336981373,0.8945,0.7579,1.0184,0.4941,-0.2214
P001,2022-05-12,71,0.8035306588724264,0.8855,0.7673,1.0064,0.4793,-0.2306
P001,2022-05-17,79,0.5434970778665537,0.8765,0.7514,1.0058,0.4644,-0.2293
P001,2022-05-22,63,1.0,0.8711,0.7696,1.0059,0.4672,-0.2391
P001,2022-06-01,64,0.6876964109730472,0.8064,0.6793,0.926,0.4563,-0.2
P001,2022-06-11,78,0.6770538136390004,0.6992,0.5938,0.8217,0.3861,-0.165
P001,2022-06-16,66,0.5722584350374463,0.5791,0.4826,0.6588,0.3441,-0.153
P001,2022-06-21,117,0.8897359519311366,0.4802,0.412,0.5507,0.2636,-0.1266
P001,2022-07-06,79,0.5583093638520571,0.2616,0.2241,0.3166,0.1458,-0.0666
P001,2022-07-11,88,0.7829073752045784,0.2016,0.1672,0.2429,0.116,-0.035
