date,tmax,tmin,rh,u2,rs,rain,et0
2022-01-01,6.52,-2.61,80.75,2.96,8.02,0.0,0.9514534098049509
2022-01-02,4.17,-6.99,71.34,2.03,10.57,0.0,0.9911893078920164
2022-01-03,4.61,-3.35,87.15,2.38,6.92,0.0,0.7037687715857199
2022-01-04,5.2,-5.55,82.64,1.3,6.79,0.12,0.7197857008433589
2022-01-05,3.05,-1.01,89.68,0.66,5.34,1.34,0.6047372621363026
2022-01-06,4.2,-2.88,85.64,1.07,3.43,0.03,0.5856830004254411
2022-01-07,5.81,-2.5,85.47,1.61,4.61,0.0,0.6847473019294413
2022-01-08,6.34,-1.67,85.61,1.63,6.66,0.0,0.7731928273723155
2022-01-09,6.79,-1.08,87.85,1.12,4.67,0.0,0.6679702270528738
2022-01-10,3.04,-4.29,84.86,2.38,3.09,0.7,0.6158725854543788
2022-01-11,4.56,-5.28,74.46,1.51,10.11,0.0,0.9497179522250935
2022-01-12,2.21,-5.98,84.67,2.88,1.41,0.02,0.5615771900266492
2022-01-13,2.0,-10.3,62.75,1.78,11.49,0.0,1.0133748789237198
2022-01-14,3.7,-6.57,71.38,4.61,7.44,0.0,1.1296784456436928
2022-01-15,6.13,-4.51,77.48,2.76,8.53,0.0,1.0199299554207104
2022-01-16,4.76,-7.28,64.39,1.67,10.98,0.0,1.125164383793047
2022-01-17,4.78,-5.2,64.49,1.9,10.83,0.0,1.2002605114404734
2022-01-18,6.83,-4.96,85.49,3.14,6.4,0.0,0.7993160499372739
2022-01-19,3.78,-4.45,85.57,3.09,5.3,0.0,0.7048171231873949
2022-01-20,0.48,-8.13,79.36,2.23,3.81,0.0,0.635640639473884
2022-01-21,3.95,-4.55,78.02,0.97,6.38,0.83,0.7669347249200712
2022-01-22,2.77,-2.26,87.25,2.2,2.66,5.98,0.5854437789834667
2022-01-23,2.6,-3.23,85.81,3.67,2.46,0.62,0.6347313490783398
2022-01-24,0.86,-4.49,77.15,1.94,7.88,0.15,0.8441438293527452
2022-01-25,4.53,-4.04,79.55,1.0,6.86,0.0,0.8054424902805718
2022-01-26,2.62,-6.35,75.97,2.5,9.73,0.0,0.9659051789701544
2022-01-27,3.62,-4.12,75.93,2.51,9.78,0.0,1.0484833894837073
2022-01-28,2.93,-4.83,75.25,1.51,7.54,0.0,0.8873941340933426
2022-01-29,5.18,-5.35,65.31,1.12,8.99,0.0,1.0669431424179572
2022-01-30,5.5,-4.89,75.35,2.23,9.01,0.0,1.072166517753617
2022-01-31,4.51,-4.47,61.2,2.74,14.63,0.0,1.5659324017329168
2022-02-01,2.01,-8.67,63.29,2.19,12.99,0.0,1.2096434001723124
2022-02-02,5.84,-5.88,61.43,1.17,12.44,0.0,1.288507817249811
2022-02-03,6.7,-3.09,60.47,1.3,10.48,0.0,1.3451005814914956
2022-02-04,1.82,-4.16,59.17,3.77,13.61,0.15,1.5809536507543953
2022-02-05,3.02,-8.63,52.52,1.61,13.51,0.0,1.3644759303297853
2022-02-06,5.07,-5.27,59.43,1.07,11.37,0.0,1.25819392742279
2022-02-07,6.03,-1.52,60.31,0.98,9.5,0.0,1.2634852367588385
2022-02-08,7.78,-1.85,69.29,1.73,11.05,0.01,1.4091220766582917
2022-02-09,8.42,-1.54,74.57,2.88,10.46,0.0,1.417668817915709
2022-02-10,8.82,-2.31,80.41,2.17,9.05,0.0,1.1694867010628887
2022-02-11,7.97,-2.52,84.1,1.33,8.18,0.0,0.9993756611831317
2022-02-12,9.11,-1.07,77.85,1.1,8.05,0.01,1.1248114311071902
2022-02-13,8.22,-2.14,85.59,2.39,6.14,0.15,0.9176956749012717
2022-02-14,1.85,-5.31,71.12,3.68,8.53,0.51,1.1507403943783379
2022-02-15,3.31,-5.68,66.47,1.95,6.93,0.1,1.0959439827796515
2022-02-16,3.15,-5.43,66.08,3.31,12.24,0.01,1.423693119944161
2022-02-17,1.75,-4.28,63.09,2.35,13.43,0.03,1.433980499832497
2022-02-18,2.24,-5.23,78.48,1.61,7.36,0.22,0.8897760982641373
2022-02-19,2.22,-5.72,48.62,3.5,17.0,0.0,1.9412764000584286
2022-02-20,6.33,-5.89,53.89,1.86,16.99,0.0,1.8635710919397563
2022-02-21,6.51,-4.71,57.7,2.52,17.01,0.0,1.944119348468317
2022-02-22,3.73,-4.45,51.34,3.35,16.92,0.0,2.024746782229363
2022-02-23,7.16,-6.38,54.72,1.49,16.75,0.0,1.826031233664121
2022-02-24,9.6,-3.03,75.38,2.95,11.46,0.0,1.5300357257267703
2022-02-25,13.85,-1.38,76.5,4.27,13.51,0.0,1.927689077337182
2022-02-26,11.24,-0.7,56.13,3.66,18.57,0.0,2.721911991315622
2022-02-27,15.74,-2.26,61.94,3.88,16.77,0.0,2.78599566403205
2022-02-28,13.7,2.48,71.44,3.47,8.97,0.0,1.941834340090981
2022-03-01,9.87,-2.45,51.62,3.32,18.99,0.0,2.671568581911394
2022-03-02,15.31,-2.98,53.32,2.41,18.14,0.0,2.8424663853479406
2022-03-03,18.27,-0.61,65.0,2.62,15.43,0.0,2.671363162223836
2022-03-04,15.84,0.65,59.83,3.82,15.98,0.0,2.96622502011708
2022-03-05,13.33,-3.66,52.05,2.12,19.84,0.0,2.743909470243107
2022-03-06,13.16,-1.71,58.55,3.95,13.0,0.0,2.5776952484287925
2022-03-07,16.33,1.67,63.43,2.92,19.14,0.0,2.978571864729058
2022-03-08,19.37,1.03,63.64,2.83,16.15,0.0,2.9848768299912014
2022-03-09,20.92,3.71,72.86,2.08,14.96,0.0,2.623425146773886
2022-03-10,21.29,6.72,74.8,2.88,14.69,0.0,2.76617925721315
2022-03-11,21.46,6.86,78.24,2.4,12.64,0.01,2.40801464258826
2022-03-12,11.95,7.11,93.45,1.53,3.36,3.33,0.8096833433096917
2022-03-13,19.44,5.58,82.45,1.35,4.75,0.25,1.2947461474189912
2022-03-14,20.39,7.5,69.89,2.04,19.57,0.43,3.2589567751386297
2022-03-15,21.16,6.26,74.01,3.61,13.61,0.0,2.8097365753092323
2022-03-16,17.73,3.78,76.89,4.75,6.09,1.79,1.950073279120229
2022-03-17,9.89,-1.42,52.59,5.45,7.42,0.0,2.5442061469566477
2022-03-18,8.75,-2.37,74.47,1.62,9.24,0.44,1.399879808676707
2022-03-19,6.14,-1.57,72.28,3.11,12.47,0.02,1.6476975880938518
2022-03-20,10.76,-2.64,69.09,2.45,13.93,0.0,1.9762045526259577
2022-03-21,11.06,-0.2,72.92,1.31,8.14,0.0,1.4526744927314053
2022-03-22,14.9,0.03,68.34,1.78,13.59,0.0,2.210284652801768
2022-03-23,16.6,2.42,74.77,4.21,17.42,0.0,2.6702195780857036
2022-03-24,15.82,5.55,83.14,4.0,14.24,0.14,2.130202674743157
2022-03-25,16.11,3.76,88.58,3.96,3.39,20.15,1.0646953875425282
2022-03-26,17.46,2.03,67.65,2.49,18.57,0.0,2.972821843066765
2022-03-27,14.74,0.85,47.0,2.84,24.28,0.0,3.827341504754763
2022-03-28,16.83,2.53,61.35,4.16,21.54,0.0,3.6129840974094307
2022-03-29,20.6,5.38,76.65,4.44,13.4,3.04,2.7215958532750713
2022-03-30,13.99,4.95,79.64,3.92,8.13,0.42,1.7623672627806584
2022-03-31,15.91,2.51,61.84,2.68,17.23,0.0,3.0190652058934977
2022-04-01,16.44,0.33,55.36,2.02,23.09,0.0,3.496053581271989
2022-04-02,17.19,2.29,62.42,1.81,18.88,0.05,3.073677184575665
2022-04-03,19.51,2.71,58.19,2.38,22.06,0.0,3.801734036591103
2022-04-04,22.08,5.31,66.85,4.87,20.14,0.0,4.025657347039592
2022-04-05,24.21,8.93,69.88,3.54,18.55,0.0,3.911037354377368
2022-04-06,20.19,4.92,65.21,3.19,11.71,0.0,2.979816954841827
2022-04-07,22.22,2.38,63.36,1.54,23.7,0.0,3.8692184022422316
2022-04-08,26.82,9.18,74.93,4.06,20.07,0.0,4.096535563194121
2022-04-09,28.03,12.92,74.11,3.71,19.42,0.0,4.316926971490149
2022-04-10,30.57,14.12,70.77,4.25,21.96,0.0,5.242888376804432
2022-04-11,31.5,15.74,64.77,4.54,20.18,0.01,5.756581791107162
2022-04-12,16.05,7.82,71.69,4.94,11.94,17.1,2.7452631943905788
2022-04-13,19.07,5.43,59.35,2.37,22.31,0.0,3.929408479452565
2022-04-14,17.98,6.55,57.23,2.55,10.97,0.0,2.9924741373034323
2022-04-15,17.27,5.39,56.87,3.53,23.68,0.0,4.179440668725857
2022-04-16,20.47,5.38,46.48,1.5,25.18,0.0,4.428809458305427
2022-04-17,20.88,4.54,55.54,3.19,17.51,0.0,4.000329265456258
2022-04-18,20.45,7.16,65.15,2.41,14.32,0.0,3.178755188026975
2022-04-19,24.48,8.53,54.95,2.28,24.25,0.0,4.952136438592958
2022-04-20,26.81,8.81,61.35,4.56,24.71,0.0,5.5727436467449465
2022-04-21,27.79,12.55,70.7,4.73,20.65,0.0,4.840836149863758
2022-04-22,18.84,10.27,59.03,3.61,14.67,0.0,3.783659685278467
2022-04-23,27.29,7.7,65.04,3.96,25.24,0.0,5.290939786967595
2022-04-24,28.95,16.35,78.57,3.62,16.45,0.2,3.933770498398925
2022-04-25,27.51,16.63,81.11,1.95,15.75,0.04,3.439963646068695
2022-04-26,24.64,11.77,57.26,4.24,16.93,0.0,4.916481507436259
2022-04-27,23.46,9.12,55.32,2.15,16.03,0.04,3.9642234114344066
2022-04-28,12.99,6.17,76.86,3.06,6.54,3.53,1.7232892484957452
2022-04-29,17.26,5.4,75.15,1.18,16.62,0.01,2.7275242019673094
2022-04-30,19.37,8.7,54.76,3.0,18.96,0.01,4.20545555059676
2022-05-01,25.25,5.73,48.44,2.76,27.82,0.0,5.774078539651663
2022-05-02,27.0,11.35,50.31,1.85,26.81,0.0,5.6926702901625665
2022-05-03,30.63,11.69,50.66,3.89,27.28,0.0,7.153164673125948
2022-05-04,30.87,12.17,49.63,5.12,27.42,0.0,7.799010134897594
2022-05-05,30.67,14.49,54.16,5.88,26.16,0.0,7.630700676223765
2022-05-06,30.01,12.27,62.02,4.57,21.51,0.0,5.868516533079663
2022-05-07,19.61,9.71,57.81,4.42,5.71,0.04,3.3397653028826695
2022-05-08,16.81,6.94,64.28,2.42,6.65,0.22,2.282126823953797
2022-05-09,10.79,7.56,84.68,1.64,4.84,7.95,1.1963214157164639
2022-05-10,22.09,5.62,72.58,1.31,14.19,0.01,2.7981333464067943
2022-05-11,20.7,12.15,77.23,2.25,13.46,0.2,2.8571640479326303
2022-05-12,19.13,11.45,78.03,3.13,6.62,1.53,2.0901975974620526
2022-05-13,22.2,9.09,59.32,2.09,26.19,0.34,4.873151910054755
2022-05-14,21.85,9.86,52.25,1.51,19.09,0.01,4.08109350935418
2022-05-15,26.44,8.62,59.77,2.32,27.65,0.0,5.495864453332638
2022-05-16,29.58,10.3,47.34,2.21,28.82,0.0,6.5368304950932
2022-05-17,32.86,12.08,41.94,3.52,28.36,0.0,8.110515758227503
2022-05-18,30.92,13.54,51.95,1.76,23.57,0.0,5.723460472302558
2022-05-19,29.63,16.85,58.81,2.65,22.21,0.0,5.727303777558782
2022-05-20,30.1,14.33,60.36,2.38,25.81,0.0,5.962524822152387
2022-05-21,32.99,15.73,55.06,3.12,27.8,0.0,7.2272028028338
2022-05-22,32.6,16.94,55.22,3.46,24.43,0.0,6.934205961163572
2022-05-23,31.39,17.66,55.28,2.51,21.34,0.03,5.935285092961675
2022-05-24,32.32,17.39,57.77,3.12,22.7,0.03,6.3778159430905825
2022-05-25,25.91,15.55,57.03,3.87,18.87,0.0,5.42742393860005
2022-05-26,30.76,12.87,45.4,2.8,28.48,0.03,7.224582905593023
