date,tmax,tmin,rh,u2,rs,rain
2022-01-01,0.34,-6.96,47.3,2.14,9.89,0.0
2022-01-02,1.03,-8.93,76.3,1.87,8.71,0.0
2022-01-03,-0.45,-12.36,64.7,3.35,9.92,0.0
2022-01-04,-2.03,-11.33,59.5,1.86,5.53,0.0
2022-01-05,-0.98,-11.83,54.9,1.62,10.07,0.0
2022-01-06,-2.35,-9.84,54.1,3.2,9.47,0.0
2022-01-07,0.24,-11.12,50.7,3.34,6.27,2.81
2022-01-08,3.42,-6.49,56.6,2.47,15.29,0.0
2022-01-09,-1.18,-12.63,62.1,0.81,5.93,0.0
2022-01-10,-1.52,-12.46,60.2,1.72,6.24,0.0
2022-01-11,1.24,-10.11,47.9,2.69,9.68,0.0
2022-01-12,0.9,-6.39,59.3,2.21,3.05,0.0
2022-01-13,0.26,-10.31,53.1,3.44,6.49,0.0
2022-01-14,-2.33,-10.31,63.6,1.11,4.31,0.0
2022-01-15,-0.07,-8.4,80.6,2.74,5.99,0.0
2022-01-16,1.75,-6.88,68.3,1.7,8.5,4.78
2022-01-17,-3.34,-13.3,58.9,3.26,9.87,6.64
2022-01-18,-1.11,-11.25,45.8,2.14,12.23,2.07
2022-01-19,-4.7,-16.35,47.9,3.02,11.36,0.0
2022-01-20,-3.14,-10.21,45.1,1.68,12.52,0.0
2022-01-21,-4.5,-12.46,69.3,1.07,10.76,0.0
2022-01-22,-0.45,-9.26,54.3,1.31,7.62,17.64
2022-01-23,-2.99,-14.08,62.6,1.71,12.39,10.46
2022-01-24,0.9,-8.85,55.8,1.38,7.62,0.0
2022-01-25,0.65,-8.91,62.9,3.16,7.27,0.0
2022-01-26,-0.16,-10.96,76.0,3.27,13.72,2.8
2022-01-27,-5.93,-16.2,55.2,2.42,11.54,0.0
2022-01-28,-0.93,-9.38,58.6,1.37,9.88,26.82
2022-01-29,0.36,-7.08,53.9,2.11,11.51,0.0
2022-01-30,0.83,-8.48,70.7,1.65,11.93,5.11
2022-01-31,-3.21,-14.61,51.7,3.36,5.26,0.0
2022-02-01,-0.51,-10.5,50.7,2.45,9.11,0.0
2022-02-02,-1.68,-8.95,48.1,2.59,5.9,0.0
2022-02-03,-1.18,-10.38,47.9,1.88,9.85,0.0
2022-02-04,3.58,-5.34,66.7,0.59,7.53,0.0
2022-02-05,-1.0,-10.92,87.7,1.58,13.66,0.0
2022-02-06,1.03,-8.91,52.0,1.31,11.2,0.0
2022-02-07,3.41,-8.34,71.5,2.5,7.27,0.0
2022-02-08,-0.16,-8.85,64.5,2.28,9.71,0.0
2022-02-09,1.13,-7.91,51.0,1.56,6.19,0.0
2022-02-10,1.79,-8.28,59.2,1.89,10.01,0.0
2022-02-11,1.78,-9.65,59.7,3.45,11.59,0.0
2022-02-12,-1.33,-11.86,55.1,1.43,10.8,0.0
2022-02-13,2.05,-7.31,81.3,1.47,4.3,0.0
2022-02-14,5.37,-5.7,42.9,2.02,9.15,0.0
2022-02-15,-1.77,-11.19,65.8,1.64,11.75,0.0
2022-02-16,4.38,-7.44,65.3,1.86,11.21,0.0
2022-02-17,2.66,-5.75,56.2,2.63,13.84,0.0
2022-02-18,0.9,-6.74,63.5,3.59,6.59,4.77
2022-02-19,7.64,-3.51,70.8,0.78,12.09,0.0
2022-02-20,4.69,-3.8,63.5,2.19,8.65,10.67
2022-02-21,-0.07,-11.31,66.2,2.23,11.27,0.0
2022-02-22,3.26,-6.78,68.9,2.13,11.98,0.0
2022-02-23,4.67,-4.87,41.7,2.05,12.91,0.0
2022-02-24,2.91,-4.52,76.8,1.93,9.2,0.0
2022-02-25,5.25,-5.68,84.8,3.0,11.57,0.0
2022-02-26,3.54,-3.79,71.8,1.83,7.61,0.0
2022-02-27,5.54,-6.29,72.1,2.1,6.97,0.0
2022-02-28,7.63,-3.75,47.9,2.2,12.95,0.0
2022-03-01,2.52,-6.0,60.8,2.29,11.22,10.55
2022-03-02,4.89,-2.75,53.9,2.06,6.62,0.0
2022-03-03,3.4,-8.03,56.1,3.0,9.02,0.0
2022-03-04,5.06,-4.34,71.7,2.19,11.72,0.0
2022-03-05,1.95,-5.67,54.0,2.34,16.42,0.0
2022-03-06,3.66,-5.84,60.7,2.16,14.99,0.0
2022-03-07,4.8,-3.43,42.9,1.4,14.35,1.28
2022-03-08,7.73,-1.31,60.4,1.54,6.71,0.0
2022-03-09,8.54,-1.66,62.9,1.36,11.87,4.52
2022-03-10,2.56,-9.02,55.0,2.35,13.7,0.0
2022-03-11,4.08,-6.93,54.8,1.63,13.55,0.0
2022-03-12,7.88,0.08,80.9,1.35,13.72,0.0
2022-03-13,1.49,-7.9,49.9,2.39,11.88,0.0
2022-03-14,5.51,-3.95,51.5,2.62,17.96,0.0
2022-03-15,6.64,-5.31,53.9,0.79,17.22,3.84
2022-03-16,10.23,2.8,74.0,3.55,12.62,3.34
2022-03-17,9.02,-0.53,83.0,2.23,10.08,0.0
2022-03-18,6.69,-4.88,65.3,2.12,19.28,6.41
2022-03-19,6.8,-2.19,54.8,3.05,11.58,0.73
2022-03-20,7.32,-0.99,57.7,2.26,16.94,7.17
2022-03-21,11.97,2.19,72.6,1.72,19.19,0.0
2022-03-22,7.31,-1.29,52.9,3.96,10.75,0.0
